time,ax,ay,az,atotal
2022-08-11 17:53:57.8170,0.05,0.33,0.44,0.55
2022-08-11 17:53:57.8410,0.33,0.37,0.49,0.69
2022-08-11 17:53:57.8430,0.65,0.21,0.33,0.75
2022-08-11 17:53:57.8470,0.84,0.08,0.17,0.86
2022-08-11 17:53:57.8570,1.22,0.1,0.28,1.25
2022-08-11 17:53:57.8680,1.24,0.4,0.35,1.34
2022-08-11 17:53:57.8780,0.77,0.53,0.2,0.95
2022-08-11 17:53:57.8870,0.68,0.45,0.36,0.89
2022-08-11 17:53:57.8990,0.83,0.23,0.63,1.06
2022-08-11 17:53:57.9070,0.5,-0.03,0.66,0.82
2022-08-11 17:53:57.9170,0.1,0.09,0.38,0.4
2022-08-11 17:53:57.9270,0.39,0.31,-0.13,0.51
2022-08-11 17:53:57.9440,0.73,0.32,-0.51,0.94
2022-08-11 17:53:57.9470,0.57,0.19,-0.3,0.67
2022-08-11 17:53:57.9570,0.5,0.15,-0.09,0.52
2022-08-11 17:53:57.9670,0.33,0.24,0.14,0.43
2022-08-11 17:53:57.9760,0.14,0.31,0.29,0.44
2022-08-11 17:53:57.9870,-0.15,0.3,0.3,0.45
2022-08-11 17:53:57.9960,-0.15,0.0,0.34,0.37
2022-08-11 17:53:58.0080,-0.18,-0.34,0.54,0.66
2022-08-11 17:53:58.0160,0.08,-0.13,0.42,0.44
2022-08-11 17:53:58.0260,0.24,0.0,0.27,0.36
2022-08-11 17:53:58.0430,0.4,-0.12,0.42,0.59
2022-08-11 17:53:58.0460,0.8,-0.12,0.07,0.81
2022-08-11 17:53:58.0560,0.24,0.45,0.04,0.51
2022-08-11 17:53:58.0650,-0.12,0.88,-0.04,0.88
2022-08-11 17:53:58.0750,-0.14,0.84,0.04,0.85
2022-08-11 17:53:58.0850,-0.05,0.37,0.43,0.56
2022-08-11 17:53:58.0950,0.05,0.04,0.61,0.61
2022-08-11 17:53:58.1070,0.2,-0.15,0.56,0.61
2022-08-11 17:53:58.1150,0.36,-0.3,0.45,0.64
2022-08-11 17:53:58.1250,0.35,-0.37,0.39,0.64
2022-08-11 17:53:58.1410,0.15,-0.2,0.45,0.51
2022-08-11 17:53:58.1450,0.21,0.09,0.17,0.28
2022-08-11 17:53:58.1560,0.26,0.47,-0.18,0.56
2022-08-11 17:53:58.1650,0.24,0.6,-0.05,0.64
2022-08-11 17:53:58.1750,0.07,0.44,0.29,0.53
2022-08-11 17:53:58.1850,0.23,0.1,0.64,0.68
2022-08-11 17:53:58.1950,0.44,-0.29,1.03,1.15
2022-08-11 17:53:58.2040,0.6,-0.51,0.84,1.15
2022-08-11 17:53:58.2150,0.54,-0.2,0.18,0.6
2022-08-11 17:53:58.2260,0.42,0.09,-0.1,0.44
2022-08-11 17:53:58.2400,0.55,-0.01,-0.25,0.6
2022-08-11 17:53:58.2440,0.34,-0.29,0.33,0.55
2022-08-11 17:53:58.2550,0.36,-0.8,0.72,1.13
2022-08-11 17:53:58.2650,0.18,-0.91,0.82,1.23
2022-08-11 17:53:58.2750,-0.69,-0.92,0.45,1.23
2022-08-11 17:53:58.2850,-1.49,-0.25,0.23,1.52
2022-08-11 17:53:58.2940,-0.25,0.94,-0.7,1.19
2022-08-11 17:53:58.3040,1.2,0.42,-0.65,1.42
2022-08-11 17:53:58.3150,0.96,-0.12,-0.2,0.98
2022-08-11 17:53:58.3240,-0.25,0.03,-0.45,0.51
2022-08-11 17:53:58.3450,-0.97,0.48,-0.44,1.16
2022-08-11 17:53:58.3470,-1.25,0.47,-0.1,1.33
2022-08-11 17:53:58.3540,-1.16,0.39,0.27,1.25
2022-08-11 17:53:58.3630,-0.38,1.17,-0.12,1.23
2022-08-11 17:53:58.3750,0.81,1.46,-0.53,1.75
2022-08-11 17:53:58.3830,0.69,0.51,0.07,0.86
2022-08-11 17:53:58.3930,0.14,0.05,0.79,0.8
2022-08-11 17:53:58.4050,0.71,0.02,0.91,1.15
2022-08-11 17:53:58.4130,1.12,-0.17,1.14,1.6
2022-08-11 17:53:58.4230,0.96,-0.27,1.5,1.8
2022-08-11 17:53:58.4440,0.67,-0.4,1.38,1.58
